10000 30000
3354 1830 66
8781 6892 85
9624 255 83
7248 1806 42
2167 4916 35
7284 1168 17
627 179 48
1454 46 59
4217 2051 12
553 814 81
4934 4868 67
2055 4242 96
5472 1494 51
6048 4736 89
3357 6295 15
9604 5468 32
1372 7491 65
6002 8235 63
3903 3374 30
9535 6901 38
5057 8211 28
4303 2105 56
352 1548 41
5769 5166 59
3009 646 44
5324 8583 48
3243 7812 64
5557 4640 63
3489 2964 70
8907 5249 90
5755 6511 21
5132 3677 90
7141 3594 10
2037 170 94
4429 1490 74
7648 9001 30
1922 1456 29
8076 1382 83
8646 5227 74
4921 2427 12
4158 4301 65
6855 9483 57
5928 4805 78
2544 3793 95
9736 4386 61
193 130 86
9323 9561 21
7886 7981 25
4725 5038 36
7684 4840 85
9881 1986 98
2511 981 48
29 455 82
1257 855 54
1266 2596 41
4842 3823 81
5650 2702 20
5730 3152 44
7342 5406 100
6712 5735 52
1739 4081 60
4840 3040 66
9383 9547 89
4724 8549 17
9725 5682 85
3700 1343 25
4035 917 25
8207 1613 92
1802 1449 55
6347 184 26
4906 566 34
4867 8734 21
4487 569 48
4156 7534 2
4725 757 47
6964 645 34
4548 8623 100
1523 9207 83
513 2482 33
6026 6517 1
5182 7298 83
4701 1087 78
2160 6437 46
4976 5906 25
1226 762 32
7587 8225 6
4322 2902 80
1777 1240 42
4318 35 12
4017 4602 50
4933 9326 51
3489 415 29
8272 6309 12
4613 5114 49
7377 4079 94
9213 9422 38
5893 1141 91
9241 4065 14
3229 510 31
3474 5411 45
3796 3167 8
5486 4651 47
6387 9467 93
5710 5017 34
6120 7148 88
1396 269 34
9059 4222 47
3737 897 48
5160 1628 6
8897 5068 81
8611 5216 92
5739 3418 67
61 1969 70
6145 5795 40
6938 111 84
2109 582 14
5523 3863 64
8046 4137 92
3884 7436 2
6900 3518 39
8570 2085 87
9360 9629 91
1669 2641 38
3459 2720 96
6600 111 50
1252 4316 21
4294 5766 39
5255 6686 57
839 59 52
9903 5766 74
6199 5933 9
6497 3158 46
9623 7822 67
1662 153 14
7871 9740 24
5014 1476 9
9160 3059 8
7695 1471 96
1293 5338 4
1601 7115 98
2862 315 26
3540 2422 90
7384 1415 2
9604 2204 35
3785 1337 41
1848 2911 100
1121 651 68
3874 9801 59
9328 3803 62
4222 5732 19
4121 5811 9
1887 1756 44
1659 9541 54
2733 1361 51
9173 5069 48
6414 5214 53
9406 5052 22
7619 3486 39
5755 29 55
6706 9778 36
4220 3383 22
5751 2144 1
4034 2619 57
4506 2569 36
3090 6260 1
794 580 21
689 3763 63
9692 5335 19
2153 3624 59
1194 216 74
5337 4717 95
5115 8608 62
1879 4680 11
4617 4049 33
9294 7623 80
7255 5564 49
9899 1247 9
7395 6029 88
637 6057 23
9236 4372 64
4301 3803 48
5567 5331 13
8975 400 81
9096 9721 46
6521 5417 39
82 7616 42
519 9599 76
4680 3098 68
7232 7014 7
302 38 2
7249 1991 31
3788 2498 37
8516 1006 48
336 135 79
8473 6072 86
3754 3875 39
5455 826 40
8049 7251 58
4760 4331 9
3747 3793 41
138 6196 57
7172 5788 8
7297 2860 17
3600 4561 42
6230 3634 45
4449 77 28
1547 938 66
8908 8249 87
8157 9431 48
1274 563 94
9318 7278 37
1464 3416 70
9299 303 3
6963 5490 7
8837 8002 44
4606 5603 3
346 6202 94
6603 4326 64
7334 8676 76
2967 1129 62
6005 5839 73
2614 5258 55
7568 8635 98
9479 5272 65
2603 3676 3
3533 1260 26
3757 7764 6
1722 2028 48
9695 9591 6
9182 1226 54
2146 747 26
4950 3331 67
9915 9549 16
1965 9806 99
3917 3469 94
7829 216 25
4004 7853 27
9725 474 48
4436 4365 98
7634 727 15
596 546 25
8026 5160 72
3360 2472 36
8790 8680 41
4163 788 90
9002 6673 78
604 5727 25
5474 4545 92
2400 6759 5
